,name,details,ingredients
38,COSRX - Low pH Good Morning Gel Cleanser - 150ml,"Cruelty Free: Yes


Product Type: Cleansing Gel


Skin Concern: Acne, Blackheads, Dryness/ Hydration, Irritation/ Calming, Sun Damage


Skin Type: Oily, Sensitive","Water, Cocamidopropyl Betaine, Sodium Lauroyl Methyl Isethionate, Polysorbate 20, Styrax Japonicus Branch/Fruit/Leaf Extract, Butylene Glycol, Saccharomyces Ferment, Cryptomeria Japonica Leaf Extract, Nelumbo Nucifera Leaf Extract, Pinus Palustris Leaf Extract, Ulmus Davidiana Root Extract, Oenothera Biennis (Evening Primrose) Flower Extract, Pueraria Lobata Root Extract, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Allantoin, Caprylyl Glycol, Ethylhexylglycerin, Betaine Salicylate, Citric Acid, Ethyl Hexanediol, 1,2-Hexanediol, Trisodium Ethylenediamine Disuccinate, Sodium Benzoate, Disodium EDTA"
39,heimish - All Clean Balm,"Cruelty Free: Yes


Product Type: Cleansing Balm


Product Unit: 120ml


Skin Concern: Acne, Blackheads, Oil Control/ Pores


Skin Type: Combination, Dry, Normal, Oily, Sensitive","Ethylhexyl Palmitate, Cetyl Ethylhexanoate, PEG-20 Glyceryl Triisostearate, Polyethylene, PEG-8 Isostearate, Shea Butter, Cocos Nucifera (Coconut) Fruit Extract, Lime Extract, Freesia Refracta Extract, Prunus Serrulata Flower Extract, Jasmine Extract, Lily Extract, Edelweiss Extract, Nelumbium Speciosum Flower Extract, Rose Extract, Orange Peel Extract, Lavender Oil, Pelargonium Graveolens Flower Oil, Amyris Balsamifera Bark Oil, Grapefruit Peel Oil, Eucalyptus Leaf Oil, Tea Tree Leaf Oil, Mexican Juniper Oil, Boswellia Carterii Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Tocopheryl Acetate, 1,2-Hexanediol"
40,SOME BY MI - AHA-BHA-PHA 30days Miracle Acne Clear Body Cleanser - 400g,"Product Type: Cleansing Water


Skin Concern: Acne, Irritation/ Calming


Skin Type: Combination, Dry, Normal, Oily","Ethylhexyl Palmitate, Cetyl Ethylhexanoate, PEG-20 Glyceryl Triisostearate, Polyethylene, PEG-8 Isostearate, Shea Butter, Cocos Nucifera (Coconut) Fruit Extract, Lime Extract, Freesia Refracta Extract, Prunus Serrulata Flower Extract, Jasmine Extract, Lily Extract, Edelweiss Extract, Nelumbium Speciosum Flower Extract, Rose Extract, Orange Peel Extract, Lavender Oil, Pelargonium Graveolens Flower Oil, Amyris Balsamifera Bark Oil, Grapefruit Peel Oil, Eucalyptus Leaf Oil, Tea Tree Leaf Oil, Mexican Juniper Oil, Boswellia Carterii Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Tocopheryl Acetate, 1,2-Hexanediol"
41,Isntree - Micellar Washing Cleansing Water - 300ml,"Cruelty Free: Yes


Product Type: Cleansing Water


Product Unit: 300ml


Skin Concern: Dryness/ Hydration, Dullness / Radiance, Oil Control/ Pores


Skin Type: Combination, Dry, Normal, Oily","Water, Glycerin, Acer Saccharum (Sugar Maple) Sap, 1, 2-Hexanediol , Polyglyceryl-4 Caprate, Butylene Glycol, Lauryl Sodium Chloride"
42,BEAUTY OF JOSEON - Cleansing Balm - 80g,"Cruelty Free: Yes


Product Type: Cleansing Balm


Product Unit: 80g


Skin Concern: Dryness/ Hydration, Dullness / Radiance


Skin Type: Combination, Dry, Normal, Oily","Water, Glycerin, Acer Saccharum (Sugar Maple) Sap, 1, 2-Hexanediol , Polyglyceryl-4 Caprate, Butylene Glycol, Lauryl Sodium Chloride"
43,Haruharu WONDER - Black Rice Moisture Deep Cleansing Oil - 150ml,"Product Type: Cleansing Oil


Skin Type: Combination, Dry, Normal, Oily","Water, Glycerin, Acer Saccharum (Sugar Maple) Sap, 1, 2-Hexanediol , Polyglyceryl-4 Caprate, Butylene Glycol, Lauryl Sodium Chloride"
44,iUNIK - Centella Bubble Cleansing Foam - 150ml,"Product Type: Cleansing Foam


Skin Concern: Dark Circles, Dryness/ Hydration


Skin Type: Combination, Dry, Normal, Oily, Sensitive","Centella Asiatica Leaf Water,Water,TEA-Cocoyl Glutamate,Disodium cocoamphodiacetate,Glycerin,Butylene Glycol,Potassium Cocoyl Glycinate,1,2-Hexanediol,Melaleuca Alternifolia (Tea Tree) Leaf Water,Polyglyceryl-4 Caprate,Trehalose,Caprylyl Glycol,Allantoin,Ormenis Multicaulis Oil,Portulaca Oleracea Extract,Oryza Sativa (Rice) Bran Extract,Ethylhexylglycerin,Citric Acid,Pentylene Glycol,Aspalathus Linearis Extract,Glycyrrhiza Glabra (Licorice) Root Extract,Chlorophyllin-Copper Complex"
45,heimish - All Clean Green Foam - 150ml,"Cruelty Free: Yes


Product Type: Cleansing Foam


Skin Concern: Irritation/ Calming, Oil Control/ Pores


Skin Type: Combination, Dry, Normal, Oily","Centella Asiatica Leaf Water,Water,TEA-Cocoyl Glutamate,Disodium cocoamphodiacetate,Glycerin,Butylene Glycol,Potassium Cocoyl Glycinate,1,2-Hexanediol,Melaleuca Alternifolia (Tea Tree) Leaf Water,Polyglyceryl-4 Caprate,Trehalose,Caprylyl Glycol,Allantoin,Ormenis Multicaulis Oil,Portulaca Oleracea Extract,Oryza Sativa (Rice) Bran Extract,Ethylhexylglycerin,Citric Acid,Pentylene Glycol,Aspalathus Linearis Extract,Glycyrrhiza Glabra (Licorice) Root Extract,Chlorophyllin-Copper Complex"
46,SOME BY MI - Bye Bye Blackhead 30days Miracle Green Tea Tox Bubble Cleanser - 120g,"Product Type: Cleansing Foam


Skin Concern: Acne, Blackheads, Dullness / Radiance, Oil Control/ Pores


Skin Type: Combination, Oily","Centella Asiatica Leaf Water,Water,TEA-Cocoyl Glutamate,Disodium cocoamphodiacetate,Glycerin,Butylene Glycol,Potassium Cocoyl Glycinate,1,2-Hexanediol,Melaleuca Alternifolia (Tea Tree) Leaf Water,Polyglyceryl-4 Caprate,Trehalose,Caprylyl Glycol,Allantoin,Ormenis Multicaulis Oil,Portulaca Oleracea Extract,Oryza Sativa (Rice) Bran Extract,Ethylhexylglycerin,Citric Acid,Pentylene Glycol,Aspalathus Linearis Extract,Glycyrrhiza Glabra (Licorice) Root Extract,Chlorophyllin-Copper Complex"
47,Farm Stay - Char-Coal Pure Cleansing Foam - 180ml,"Product Type: Cleansing Foam


Skin Concern: Blackheads, Dryness/ Hydration, Irritation/ Calming


Skin Type: Combination, Dry, Normal, Oily","Centella Asiatica Leaf Water,Water,TEA-Cocoyl Glutamate,Disodium cocoamphodiacetate,Glycerin,Butylene Glycol,Potassium Cocoyl Glycinate,1,2-Hexanediol,Melaleuca Alternifolia (Tea Tree) Leaf Water,Polyglyceryl-4 Caprate,Trehalose,Caprylyl Glycol,Allantoin,Ormenis Multicaulis Oil,Portulaca Oleracea Extract,Oryza Sativa (Rice) Bran Extract,Ethylhexylglycerin,Citric Acid,Pentylene Glycol,Aspalathus Linearis Extract,Glycyrrhiza Glabra (Licorice) Root Extract,Chlorophyllin-Copper Complex"
48,iUNIK - Calendula Complete Cleansing Oil - 200ml,"Product Type: Cleansing Oil


Skin Concern: Blackheads, Oil Control/ Pores


Skin Type: Combination, Dry, Normal, Oily","Centella Asiatica Leaf Water,Water,TEA-Cocoyl Glutamate,Disodium cocoamphodiacetate,Glycerin,Butylene Glycol,Potassium Cocoyl Glycinate,1,2-Hexanediol,Melaleuca Alternifolia (Tea Tree) Leaf Water,Polyglyceryl-4 Caprate,Trehalose,Caprylyl Glycol,Allantoin,Ormenis Multicaulis Oil,Portulaca Oleracea Extract,Oryza Sativa (Rice) Bran Extract,Ethylhexylglycerin,Citric Acid,Pentylene Glycol,Aspalathus Linearis Extract,Glycyrrhiza Glabra (Licorice) Root Extract,Chlorophyllin-Copper Complex"
49,Krave - Matcha Hemp Hydrating Cleanser 120ml,"Product Type: Cleansing Gel


Skin Concern: Acne, Anti-aging/ Wrinkles


Skin Type: Combination, Dry, Normal, Oily","Centella Asiatica Leaf Water,Water,TEA-Cocoyl Glutamate,Disodium cocoamphodiacetate,Glycerin,Butylene Glycol,Potassium Cocoyl Glycinate,1,2-Hexanediol,Melaleuca Alternifolia (Tea Tree) Leaf Water,Polyglyceryl-4 Caprate,Trehalose,Caprylyl Glycol,Allantoin,Ormenis Multicaulis Oil,Portulaca Oleracea Extract,Oryza Sativa (Rice) Bran Extract,Ethylhexylglycerin,Citric Acid,Pentylene Glycol,Aspalathus Linearis Extract,Glycyrrhiza Glabra (Licorice) Root Extract,Chlorophyllin-Copper Complex"
50,COSRX - Low pH Good Morning Gel Cleanser - 150ml,"Cruelty Free: Yes


Product Type: Cleansing Gel


Skin Concern: Acne, Blackheads, Dryness/ Hydration, Irritation/ Calming, Sun Damage


Skin Type: Oily, Sensitive","Water, Cocamidopropyl Betaine, Sodium Lauroyl Methyl Isethionate, Polysorbate 20, Styrax Japonicus Branch/Fruit/Leaf Extract, Butylene Glycol, Saccharomyces Ferment, Cryptomeria Japonica Leaf Extract, Nelumbo Nucifera Leaf Extract, Pinus Palustris Leaf Extract, Ulmus Davidiana Root Extract, Oenothera Biennis (Evening Primrose) Flower Extract, Pueraria Lobata Root Extract, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Allantoin, Caprylyl Glycol, Ethylhexylglycerin, Betaine Salicylate, Citric Acid, Ethyl Hexanediol, 1,2-Hexanediol, Trisodium Ethylenediamine Disuccinate, Sodium Benzoate, Disodium EDTA"
51,heimish - All Clean Balm,"Cruelty Free: Yes


Product Type: Cleansing Balm


Product Unit: 120ml


Skin Concern: Acne, Blackheads, Oil Control/ Pores


Skin Type: Combination, Dry, Normal, Oily, Sensitive","Ethylhexyl Palmitate, Cetyl Ethylhexanoate, PEG-20 Glyceryl Triisostearate, Polyethylene, PEG-8 Isostearate, Shea Butter, Cocos Nucifera (Coconut) Fruit Extract, Lime Extract, Freesia Refracta Extract, Prunus Serrulata Flower Extract, Jasmine Extract, Lily Extract, Edelweiss Extract, Nelumbium Speciosum Flower Extract, Rose Extract, Orange Peel Extract, Lavender Oil, Pelargonium Graveolens Flower Oil, Amyris Balsamifera Bark Oil, Grapefruit Peel Oil, Eucalyptus Leaf Oil, Tea Tree Leaf Oil, Mexican Juniper Oil, Boswellia Carterii Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Tocopheryl Acetate, 1,2-Hexanediol"
52,SOME BY MI - AHA-BHA-PHA 30days Miracle Acne Clear Body Cleanser - 400g,"Product Type: Cleansing Water


Skin Concern: Acne, Irritation/ Calming


Skin Type: Combination, Dry, Normal, Oily","Ethylhexyl Palmitate, Cetyl Ethylhexanoate, PEG-20 Glyceryl Triisostearate, Polyethylene, PEG-8 Isostearate, Shea Butter, Cocos Nucifera (Coconut) Fruit Extract, Lime Extract, Freesia Refracta Extract, Prunus Serrulata Flower Extract, Jasmine Extract, Lily Extract, Edelweiss Extract, Nelumbium Speciosum Flower Extract, Rose Extract, Orange Peel Extract, Lavender Oil, Pelargonium Graveolens Flower Oil, Amyris Balsamifera Bark Oil, Grapefruit Peel Oil, Eucalyptus Leaf Oil, Tea Tree Leaf Oil, Mexican Juniper Oil, Boswellia Carterii Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Tocopheryl Acetate, 1,2-Hexanediol"
53,Isntree - Micellar Washing Cleansing Water - 300ml,"Cruelty Free: Yes


Product Type: Cleansing Water


Product Unit: 300ml


Skin Concern: Dryness/ Hydration, Dullness / Radiance, Oil Control/ Pores


Skin Type: Combination, Dry, Normal, Oily","Water, Glycerin, Acer Saccharum (Sugar Maple) Sap, 1, 2-Hexanediol , Polyglyceryl-4 Caprate, Butylene Glycol, Lauryl Sodium Chloride"
54,BEAUTY OF JOSEON - Cleansing Balm - 80g,"Cruelty Free: Yes


Product Type: Cleansing Balm


Product Unit: 80g


Skin Concern: Dryness/ Hydration, Dullness / Radiance


Skin Type: Combination, Dry, Normal, Oily","Water, Glycerin, Acer Saccharum (Sugar Maple) Sap, 1, 2-Hexanediol , Polyglyceryl-4 Caprate, Butylene Glycol, Lauryl Sodium Chloride"
55,Haruharu WONDER - Black Rice Moisture Deep Cleansing Oil - 150ml,"Product Type: Cleansing Oil


Skin Type: Combination, Dry, Normal, Oily","Water, Glycerin, Acer Saccharum (Sugar Maple) Sap, 1, 2-Hexanediol , Polyglyceryl-4 Caprate, Butylene Glycol, Lauryl Sodium Chloride"
56,iUNIK - Centella Bubble Cleansing Foam - 150ml,"Product Type: Cleansing Foam


Skin Concern: Dark Circles, Dryness/ Hydration


Skin Type: Combination, Dry, Normal, Oily, Sensitive","Centella Asiatica Leaf Water,Water,TEA-Cocoyl Glutamate,Disodium cocoamphodiacetate,Glycerin,Butylene Glycol,Potassium Cocoyl Glycinate,1,2-Hexanediol,Melaleuca Alternifolia (Tea Tree) Leaf Water,Polyglyceryl-4 Caprate,Trehalose,Caprylyl Glycol,Allantoin,Ormenis Multicaulis Oil,Portulaca Oleracea Extract,Oryza Sativa (Rice) Bran Extract,Ethylhexylglycerin,Citric Acid,Pentylene Glycol,Aspalathus Linearis Extract,Glycyrrhiza Glabra (Licorice) Root Extract,Chlorophyllin-Copper Complex"
57,heimish - All Clean Green Foam - 150ml,"Cruelty Free: Yes


Product Type: Cleansing Foam


Skin Concern: Irritation/ Calming, Oil Control/ Pores


Skin Type: Combination, Dry, Normal, Oily","Centella Asiatica Leaf Water,Water,TEA-Cocoyl Glutamate,Disodium cocoamphodiacetate,Glycerin,Butylene Glycol,Potassium Cocoyl Glycinate,1,2-Hexanediol,Melaleuca Alternifolia (Tea Tree) Leaf Water,Polyglyceryl-4 Caprate,Trehalose,Caprylyl Glycol,Allantoin,Ormenis Multicaulis Oil,Portulaca Oleracea Extract,Oryza Sativa (Rice) Bran Extract,Ethylhexylglycerin,Citric Acid,Pentylene Glycol,Aspalathus Linearis Extract,Glycyrrhiza Glabra (Licorice) Root Extract,Chlorophyllin-Copper Complex"
58,SOME BY MI - Bye Bye Blackhead 30days Miracle Green Tea Tox Bubble Cleanser - 120g,"Product Type: Cleansing Foam


Skin Concern: Acne, Blackheads, Dullness / Radiance, Oil Control/ Pores


Skin Type: Combination, Oily","Centella Asiatica Leaf Water,Water,TEA-Cocoyl Glutamate,Disodium cocoamphodiacetate,Glycerin,Butylene Glycol,Potassium Cocoyl Glycinate,1,2-Hexanediol,Melaleuca Alternifolia (Tea Tree) Leaf Water,Polyglyceryl-4 Caprate,Trehalose,Caprylyl Glycol,Allantoin,Ormenis Multicaulis Oil,Portulaca Oleracea Extract,Oryza Sativa (Rice) Bran Extract,Ethylhexylglycerin,Citric Acid,Pentylene Glycol,Aspalathus Linearis Extract,Glycyrrhiza Glabra (Licorice) Root Extract,Chlorophyllin-Copper Complex"
59,Farm Stay - Char-Coal Pure Cleansing Foam - 180ml,"Product Type: Cleansing Foam


Skin Concern: Blackheads, Dryness/ Hydration, Irritation/ Calming


Skin Type: Combination, Dry, Normal, Oily","Centella Asiatica Leaf Water,Water,TEA-Cocoyl Glutamate,Disodium cocoamphodiacetate,Glycerin,Butylene Glycol,Potassium Cocoyl Glycinate,1,2-Hexanediol,Melaleuca Alternifolia (Tea Tree) Leaf Water,Polyglyceryl-4 Caprate,Trehalose,Caprylyl Glycol,Allantoin,Ormenis Multicaulis Oil,Portulaca Oleracea Extract,Oryza Sativa (Rice) Bran Extract,Ethylhexylglycerin,Citric Acid,Pentylene Glycol,Aspalathus Linearis Extract,Glycyrrhiza Glabra (Licorice) Root Extract,Chlorophyllin-Copper Complex"
60,iUNIK - Calendula Complete Cleansing Oil - 200ml,"Product Type: Cleansing Oil


Skin Concern: Blackheads, Oil Control/ Pores


Skin Type: Combination, Dry, Normal, Oily","Centella Asiatica Leaf Water,Water,TEA-Cocoyl Glutamate,Disodium cocoamphodiacetate,Glycerin,Butylene Glycol,Potassium Cocoyl Glycinate,1,2-Hexanediol,Melaleuca Alternifolia (Tea Tree) Leaf Water,Polyglyceryl-4 Caprate,Trehalose,Caprylyl Glycol,Allantoin,Ormenis Multicaulis Oil,Portulaca Oleracea Extract,Oryza Sativa (Rice) Bran Extract,Ethylhexylglycerin,Citric Acid,Pentylene Glycol,Aspalathus Linearis Extract,Glycyrrhiza Glabra (Licorice) Root Extract,Chlorophyllin-Copper Complex"
61,Krave - Matcha Hemp Hydrating Cleanser 120ml,"Product Type: Cleansing Gel


Skin Concern: Acne, Anti-aging/ Wrinkles


Skin Type: Combination, Dry, Normal, Oily","Centella Asiatica Leaf Water,Water,TEA-Cocoyl Glutamate,Disodium cocoamphodiacetate,Glycerin,Butylene Glycol,Potassium Cocoyl Glycinate,1,2-Hexanediol,Melaleuca Alternifolia (Tea Tree) Leaf Water,Polyglyceryl-4 Caprate,Trehalose,Caprylyl Glycol,Allantoin,Ormenis Multicaulis Oil,Portulaca Oleracea Extract,Oryza Sativa (Rice) Bran Extract,Ethylhexylglycerin,Citric Acid,Pentylene Glycol,Aspalathus Linearis Extract,Glycyrrhiza Glabra (Licorice) Root Extract,Chlorophyllin-Copper Complex"
62,COSRX - Low pH Good Morning Gel Cleanser - 150ml,"Cruelty Free: Yes


Product Type: Cleansing Gel


Skin Concern: Acne, Blackheads, Dryness/ Hydration, Irritation/ Calming, Sun Damage


Skin Type: Oily, Sensitive","Water, Cocamidopropyl Betaine, Sodium Lauroyl Methyl Isethionate, Polysorbate 20, Styrax Japonicus Branch/Fruit/Leaf Extract, Butylene Glycol, Saccharomyces Ferment, Cryptomeria Japonica Leaf Extract, Nelumbo Nucifera Leaf Extract, Pinus Palustris Leaf Extract, Ulmus Davidiana Root Extract, Oenothera Biennis (Evening Primrose) Flower Extract, Pueraria Lobata Root Extract, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Allantoin, Caprylyl Glycol, Ethylhexylglycerin, Betaine Salicylate, Citric Acid, Ethyl Hexanediol, 1,2-Hexanediol, Trisodium Ethylenediamine Disuccinate, Sodium Benzoate, Disodium EDTA"
63,heimish - All Clean Balm,"Cruelty Free: Yes


Product Type: Cleansing Balm


Product Unit: 120ml


Skin Concern: Acne, Blackheads, Oil Control/ Pores


Skin Type: Combination, Dry, Normal, Oily, Sensitive","Ethylhexyl Palmitate, Cetyl Ethylhexanoate, PEG-20 Glyceryl Triisostearate, Polyethylene, PEG-8 Isostearate, Shea Butter, Cocos Nucifera (Coconut) Fruit Extract, Lime Extract, Freesia Refracta Extract, Prunus Serrulata Flower Extract, Jasmine Extract, Lily Extract, Edelweiss Extract, Nelumbium Speciosum Flower Extract, Rose Extract, Orange Peel Extract, Lavender Oil, Pelargonium Graveolens Flower Oil, Amyris Balsamifera Bark Oil, Grapefruit Peel Oil, Eucalyptus Leaf Oil, Tea Tree Leaf Oil, Mexican Juniper Oil, Boswellia Carterii Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Tocopheryl Acetate, 1,2-Hexanediol"
64,SOME BY MI - AHA-BHA-PHA 30days Miracle Acne Clear Body Cleanser - 400g,"Product Type: Cleansing Water


Skin Concern: Acne, Irritation/ Calming


Skin Type: Combination, Dry, Normal, Oily","Ethylhexyl Palmitate, Cetyl Ethylhexanoate, PEG-20 Glyceryl Triisostearate, Polyethylene, PEG-8 Isostearate, Shea Butter, Cocos Nucifera (Coconut) Fruit Extract, Lime Extract, Freesia Refracta Extract, Prunus Serrulata Flower Extract, Jasmine Extract, Lily Extract, Edelweiss Extract, Nelumbium Speciosum Flower Extract, Rose Extract, Orange Peel Extract, Lavender Oil, Pelargonium Graveolens Flower Oil, Amyris Balsamifera Bark Oil, Grapefruit Peel Oil, Eucalyptus Leaf Oil, Tea Tree Leaf Oil, Mexican Juniper Oil, Boswellia Carterii Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Tocopheryl Acetate, 1,2-Hexanediol"
65,Isntree - Micellar Washing Cleansing Water - 300ml,"Cruelty Free: Yes


Product Type: Cleansing Water


Product Unit: 300ml


Skin Concern: Dryness/ Hydration, Dullness / Radiance, Oil Control/ Pores


Skin Type: Combination, Dry, Normal, Oily","Water, Glycerin, Acer Saccharum (Sugar Maple) Sap, 1, 2-Hexanediol , Polyglyceryl-4 Caprate, Butylene Glycol, Lauryl Sodium Chloride"
66,BEAUTY OF JOSEON - Cleansing Balm - 80g,"Cruelty Free: Yes


Product Type: Cleansing Balm


Product Unit: 80g


Skin Concern: Dryness/ Hydration, Dullness / Radiance


Skin Type: Combination, Dry, Normal, Oily","Water, Glycerin, Acer Saccharum (Sugar Maple) Sap, 1, 2-Hexanediol , Polyglyceryl-4 Caprate, Butylene Glycol, Lauryl Sodium Chloride"
67,Haruharu WONDER - Black Rice Moisture Deep Cleansing Oil - 150ml,"Product Type: Cleansing Oil


Skin Type: Combination, Dry, Normal, Oily","Water, Glycerin, Acer Saccharum (Sugar Maple) Sap, 1, 2-Hexanediol , Polyglyceryl-4 Caprate, Butylene Glycol, Lauryl Sodium Chloride"
68,iUNIK - Centella Bubble Cleansing Foam - 150ml,"Product Type: Cleansing Foam


Skin Concern: Dark Circles, Dryness/ Hydration


Skin Type: Combination, Dry, Normal, Oily, Sensitive","Centella Asiatica Leaf Water,Water,TEA-Cocoyl Glutamate,Disodium cocoamphodiacetate,Glycerin,Butylene Glycol,Potassium Cocoyl Glycinate,1,2-Hexanediol,Melaleuca Alternifolia (Tea Tree) Leaf Water,Polyglyceryl-4 Caprate,Trehalose,Caprylyl Glycol,Allantoin,Ormenis Multicaulis Oil,Portulaca Oleracea Extract,Oryza Sativa (Rice) Bran Extract,Ethylhexylglycerin,Citric Acid,Pentylene Glycol,Aspalathus Linearis Extract,Glycyrrhiza Glabra (Licorice) Root Extract,Chlorophyllin-Copper Complex"
69,heimish - All Clean Green Foam - 150ml,"Cruelty Free: Yes


Product Type: Cleansing Foam


Skin Concern: Irritation/ Calming, Oil Control/ Pores


Skin Type: Combination, Dry, Normal, Oily","Centella Asiatica Leaf Water,Water,TEA-Cocoyl Glutamate,Disodium cocoamphodiacetate,Glycerin,Butylene Glycol,Potassium Cocoyl Glycinate,1,2-Hexanediol,Melaleuca Alternifolia (Tea Tree) Leaf Water,Polyglyceryl-4 Caprate,Trehalose,Caprylyl Glycol,Allantoin,Ormenis Multicaulis Oil,Portulaca Oleracea Extract,Oryza Sativa (Rice) Bran Extract,Ethylhexylglycerin,Citric Acid,Pentylene Glycol,Aspalathus Linearis Extract,Glycyrrhiza Glabra (Licorice) Root Extract,Chlorophyllin-Copper Complex"
70,SOME BY MI - Bye Bye Blackhead 30days Miracle Green Tea Tox Bubble Cleanser - 120g,"Product Type: Cleansing Foam


Skin Concern: Acne, Blackheads, Dullness / Radiance, Oil Control/ Pores


Skin Type: Combination, Oily","Centella Asiatica Leaf Water,Water,TEA-Cocoyl Glutamate,Disodium cocoamphodiacetate,Glycerin,Butylene Glycol,Potassium Cocoyl Glycinate,1,2-Hexanediol,Melaleuca Alternifolia (Tea Tree) Leaf Water,Polyglyceryl-4 Caprate,Trehalose,Caprylyl Glycol,Allantoin,Ormenis Multicaulis Oil,Portulaca Oleracea Extract,Oryza Sativa (Rice) Bran Extract,Ethylhexylglycerin,Citric Acid,Pentylene Glycol,Aspalathus Linearis Extract,Glycyrrhiza Glabra (Licorice) Root Extract,Chlorophyllin-Copper Complex"
71,Farm Stay - Char-Coal Pure Cleansing Foam - 180ml,"Product Type: Cleansing Foam


Skin Concern: Blackheads, Dryness/ Hydration, Irritation/ Calming


Skin Type: Combination, Dry, Normal, Oily","Centella Asiatica Leaf Water,Water,TEA-Cocoyl Glutamate,Disodium cocoamphodiacetate,Glycerin,Butylene Glycol,Potassium Cocoyl Glycinate,1,2-Hexanediol,Melaleuca Alternifolia (Tea Tree) Leaf Water,Polyglyceryl-4 Caprate,Trehalose,Caprylyl Glycol,Allantoin,Ormenis Multicaulis Oil,Portulaca Oleracea Extract,Oryza Sativa (Rice) Bran Extract,Ethylhexylglycerin,Citric Acid,Pentylene Glycol,Aspalathus Linearis Extract,Glycyrrhiza Glabra (Licorice) Root Extract,Chlorophyllin-Copper Complex"
